cnc_id,cnc_date,SpindleSpeed_max,Servocurrent_mean,SpindleLoad_max
20220823-0000501,2023-10-08 10:20:04.205,2230.08,135.47,31552.72
20220823-0000502,2023-10-08 10:21:17.706,2231.09,147.99,32065.65
20220823-0000503,2023-10-08 10:22:30.705,2226.04,133.52,31854.69
20220823-0000504,2023-10-08 10:22:31.714,2224.02,157.05,32047.55
20220823-0000505,2023-10-08 10:23:44.698,2231.09,144.88,31398.36
20220823-0000506,2023-10-08 10:24:58.213,2223.01,160.35,31398.03
20220823-0000507,2023-10-08 10:26:11.209,2227.05,149.89,31483.61
20220823-0000508,2023-10-08 10:27:24.198,2228.06,132.85,31689.93
20220823-0000509,2023-10-08 10:28:38.207,2215.91,136.76,32007.17
20220823-0000509,2023-10-08 10:28:38.207,2227.05,151.95,31690.26
20220823-0000510,2023-10-08 10:29:52.207,2226.04,166.7,32175.16
20220823-0000511,2023-10-08 10:31:05.202,2226.04,143.36,31854.56
20220823-0000514,2023-10-08 10:34:46.201,2226.04,135.62,31692.47
20220824-0000005,2023-10-08 23:12:34.688,2225.03,151.77,31181.13
20220824-0000007,2023-10-08 23:14:00.175,2228.06,142.69,31985.5
20220824-0000008,2023-10-08 23:15:35.177,2228.06,161.0,31989.54
20220824-0000009,2023-10-08 23:16:49.184,2223.01,139.51,31860.91
20220824-0000010,2023-10-08 23:18:21.177,2226.04,149.07,32028.84
20220824-0000011,2023-10-08 23:19:35.185,2212.9,124.78,31717.05
20220824-0000011,2023-10-08 23:19:35.185,2224.02,138.65,31403.01
20220824-0000012,2023-10-08 23:20:48.183,2225.03,155.16,31506.79
20220824-0000013,2023-10-08 23:22:02.177,2225.03,150.41,31692.93
20220824-0000014,2023-10-08 23:23:27.514,2227.05,143.13,31514.45
20220824-0000015,2023-10-08 23:24:44.173,2226.04,152.51,31866.56
20220824-0000016,2023-10-08 23:25:58.190,2226.04,149.51,31506.44
20220824-0000016,2023-10-08 23:25:58.190,2214.91,134.56,31821.51
20220824-0000017,2023-10-08 23:27:11.175,2226.04,139.44,32128.1
20220824-0000017,2023-10-08 23:27:11.175,2214.91,125.5,32449.38
20220824-0000018,2023-10-08 23:28:36.177,2224.02,153.59,32077.16
20220824-0000019,2023-10-08 23:29:58.180,2225.03,153.84,31871.54
20220824-0000020,2023-10-08 23:31:12.176,2232.1,158.81,31603.33
20220824-0000021,2023-10-08 23:32:33.167,2225.03,147.56,31777.96
20220824-0000022,2023-10-08 23:33:47.175,2225.03,157.75,31398.11
20220824-0000023,2023-10-08 23:35:09.461,2231.09,151.98,31504.06
20220824-0000024,2023-10-08 23:36:21.194,2231.09,154.1,31778.62
20220824-0000025,2023-10-08 23:37:43.160,2225.03,155.1,32047.35
20220824-0000026,2023-10-08 23:38:56.163,2231.09,160.81,31997.56
20220824-0000027,2023-10-08 23:40:17.161,2231.09,141.95,31599.52
20220824-0000029,2023-10-08 23:41:31.176,2225.03,162.36,31693.3
20220824-0000030,2023-10-08 23:42:54.180,2227.05,159.84,31170.65
20220824-0000031,2023-10-08 23:45:00.353,2227.05,163.82,31934.5
20220824-0000031,2023-10-08 23:45:00.353,2215.91,147.44,32253.84
20220824-0000032,2023-10-08 23:46:37.668,2227.05,144.63,31558.29
20220824-0000033,2023-10-08 23:47:51.659,2227.05,150.51,31423.88
20220824-0000033,2023-10-08 23:47:51.659,2227.05,145.99,32995.07
20220824-0000034,2023-10-08 23:49:21.658,2228.06,148.81,31399.45
20220824-0000035,2023-10-08 23:50:34.653,2214.91,136.87,31714.83
20220824-0000035,2023-10-08 23:50:34.653,2226.04,152.08,31400.82
20220824-0000036,2023-10-08 23:51:55.672,2216.92,124.99,32251.83
20220824-0000036,2023-10-08 23:51:55.672,2228.06,138.88,31932.51
20220824-0000037,2023-10-08 23:53:16.655,2228.06,147.34,32030.59
20220824-0000038,2023-10-08 23:54:31.163,2228.06,149.2,31201.08
20220824-0000039,2023-10-08 23:55:52.165,2224.02,152.99,31599.96
20220824-0000041,2023-10-08 23:57:06.169,2227.05,158.78,31288.65
20220824-0000042,2023-10-08 23:58:22.157,2225.03,137.86,31857.36
20220824-0000043,2023-10-08 23:59:36.164,2225.03,154.62,31739.36
20220824-0000045,2023-10-09 00:02:08.149,2226.04,153.9,31858.27
20220824-0000046,2023-10-09 00:04:55.155,2224.02,164.91,31224.89
20220824-0000047,2023-10-09 00:06:23.148,2226.04,146.34,32053.17
20220824-0000048,2023-10-09 00:07:44.147,2225.03,140.83,31691.01
20220824-0000049,2023-10-09 00:08:57.159,2226.04,141.1,33077.43
20220824-0000049,2023-10-09 00:08:57.159,2226.04,145.47,31502.31
20220824-0000050,2023-10-09 00:10:11.149,2224.02,154.67,31776.78
20220824-0000051,2023-10-09 00:11:24.155,2226.04,133.34,33552.12
20220824-0000051,2023-10-09 00:11:24.155,2226.04,137.46,31954.4
20220824-0000052,2023-10-09 00:12:38.146,2230.08,155.45,31997.1
20220824-0000053,2023-10-09 00:13:51.149,2224.02,140.32,31599.98
20220824-0000054,2023-10-09 00:15:14.569,2226.04,144.92,31599.0
20220824-0000063,2023-10-09 00:16:46.931,2228.06,138.3,30770.28
20220824-0000056,2023-10-09 00:17:19.155,2225.03,167.35,31691.97
20220824-0000058,2023-10-09 00:18:42.162,2226.04,137.63,32020.24
20220824-0000059,2023-10-09 00:19:33.540,2223.01,156.08,31613.46
20220824-0000060,2023-10-09 00:19:39.723,2232.1,173.0,31932.25
20220824-0000061,2023-10-09 00:19:56.146,2226.04,154.7,31902.16
